Anode_Alloy,Anode_Table1_Group,Anode_Group_ID,Cathode_Alloy,Cathode_Table1_Group,Cathode_Group_ID,Potential_Difference_V,Environment,Electrolyte_Conductivity_Sm,Cathode_Anode_Area_Ratio,R_p_Anode_Ohm_m2,R_p_Cathode_Ohm_m2,Target_Galvanic_Current_Density,PDF_Compatibility_Status
Steel or iron,"Steels-Carbon, Low Alloy",6,Silver,Silver,18,0.65,Industrial (Acidic Rain),0.1,0.77,0.3,10.0,0.026838,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Nickel (active),"Nickel, Cobalt",16,0.2,Marine (Seawater),5.0,29.105,0.3,2.0,2.546275,Unfavorable
Copper,"Copper-High Nickel, Monel",15,Silver solder,Silver,18,0.06,Rural (Freshwater),0.01,0.754,1.0,10.0,0.000408,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.28,Industrial (Acidic Rain),0.1,0.438,2.0,5.0,0.007806,Compatible
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.06,Rural (Freshwater),0.01,0.315,1.0,1.0,0.000183,Compatible
Tin,"Tin, Tin-Lead, Indium",8,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.37,Rural (Freshwater),0.01,0.851,0.3,5.0,0.00285,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Titanium,Titanium,17,0.75,Industrial (Acidic Rain),0.1,1.199,0.1,10.0,0.047076,Unfavorable
Lead,Lead,7,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.43,Industrial (Acidic Rain),0.1,22.734,0.3,2.0,0.757163,Unfavorable
Nickel (active),"Nickel, Cobalt",16,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.2,Rural (Freshwater),0.01,0.581,2.0,1.0,0.001176,Compatible
Inconel (active),"Nickel, Cobalt",16,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.31,Rural (Freshwater),0.01,0.775,2.0,2.0,0.002296,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Nickel (passive),"Nickel, Cobalt",16,0.43,Marine (Seawater),5.0,0.101,0.3,2.0,0.018858,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.55,Marine (Seawater),5.0,1.18,0.1,1.0,0.537761,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.22,Rural (Freshwater),0.01,0.267,0.3,2.0,0.000573,Compatible
18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Silver,Silver,18,0.12,Industrial (Acidic Rain),0.1,0.087,5.0,10.0,0.000439,Compatible
Silver solder,Silver,18,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.09,Marine (Seawater),5.0,11.17,10.0,5.0,0.069386,Compatible
Nickel (active),"Nickel, Cobalt",16,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.18,Rural (Freshwater),0.01,2.078,2.0,1.0,0.003638,Compatible
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.19,Marine (Seawater),5.0,1.205,1.0,2.0,0.06801,Compatible
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Silver solder,Silver,18,0.04,Rural (Freshwater),0.01,1.157,1.0,10.0,0.000401,Compatible
Cadmium,"Cadmium, Beryllium",3,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.17,Industrial (Acidic Rain),0.1,1.059,0.1,5.0,0.012497,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Inconel (active),"Nickel, Cobalt",16,0.68,Industrial (Acidic Rain),0.1,16.041,0.1,2.0,0.83336,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.4,Rural (Freshwater),0.01,0.585,0.3,1.0,0.002265,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.95,Industrial (Acidic Rain),0.1,10.598,0.1,10.0,0.490033,Unfavorable
Nickel (active),"Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.57,Rural (Freshwater),0.01,0.253,2.0,10.0,0.001255,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Tin,"Tin, Tin-Lead, Indium",8,0.27,Rural (Freshwater),0.01,2.689,0.1,0.3,0.007239,Unfavorable
Titanium,Titanium,17,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.1,Industrial (Acidic Rain),0.1,0.402,10.0,10.0,0.001417,Compatible
Zinc,"Zinc, Zinc Coating",2,Titanium,Titanium,17,1.09,Industrial (Acidic Rain),0.1,7.372,0.1,10.0,0.361184,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.69,Marine (Seawater),5.0,0.492,5.0,10.0,0.021452,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.14,Marine (Seawater),5.0,2.033,1.0,2.0,0.089202,Compatible
Magnesium and magnesium alloys,Magnesium,1,"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,0.91,Industrial (Acidic Rain),0.1,4.052,0.1,0.1,0.35042,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,0.18,Rural (Freshwater),0.01,2.672,0.1,0.3,0.004981,Compatible
Cadmium,"Cadmium, Beryllium",3,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.53,Rural (Freshwater),0.01,0.389,0.1,1.0,0.001975,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Chlorimet 2,"Nickel, Cobalt",16,1.32,Industrial (Acidic Rain),0.1,1.731,0.1,2.0,0.193038,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.28,Rural (Freshwater),0.01,0.661,0.3,2.0,0.001785,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,0.46,Rural (Freshwater),0.01,0.191,0.1,5.0,0.000864,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.61,Industrial (Acidic Rain),0.1,0.714,0.1,5.0,0.027016,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,0.12,Industrial (Acidic Rain),0.1,0.348,0.1,5.0,0.002868,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Platinum,"Palladium, Rhodium, Gold, Platinum",19,1.25,Rural (Freshwater),0.01,1.18,0.1,10.0,0.013767,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Copper,"Copper-High Nickel, Monel",15,0.41,Rural (Freshwater),0.01,12.197,0.3,1.0,0.046917,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.42,Industrial (Acidic Rain),0.1,0.879,5.0,1.0,0.021483,Unfavorable
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,Nickel (passive),"Nickel, Cobalt",16,0.03,Rural (Freshwater),0.01,0.639,1.0,2.0,0.000175,Compatible
Zinc,"Zinc, Zinc Coating",2,Copper,"Copper-High Nickel, Monel",15,0.83,Rural (Freshwater),0.01,0.847,0.1,1.0,0.007308,Unfavorable
Zinc,"Zinc, Zinc Coating",2,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.5,Marine (Seawater),5.0,1.003,0.1,5.0,0.092832,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Graphite,Graphite,20,0.46,Marine (Seawater),5.0,0.064,2.0,10.0,0.002451,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.43,Rural (Freshwater),0.01,0.202,0.3,1.0,0.000876,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.45,Marine (Seawater),5.0,8.373,5.0,5.0,0.36987,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.37,Rural (Freshwater),0.01,0.836,0.3,1.0,0.002903,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.33,Marine (Seawater),5.0,0.879,0.3,1.0,0.18664,Unfavorable
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.11,Industrial (Acidic Rain),0.1,0.336,1.0,1.0,0.003026,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.55,Rural (Freshwater),0.01,0.961,0.1,1.0,0.005191,Unfavorable
"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,Silver,Silver,18,0.08,Marine (Seawater),5.0,6.409,2.0,10.0,0.041959,Compatible
Tin,"Tin, Tin-Lead, Indium",8,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.34,Rural (Freshwater),0.01,1.176,0.3,5.0,0.003958,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.69,Rural (Freshwater),0.01,0.19,0.1,2.0,0.001163,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Steel or iron,"Steels-Carbon, Low Alloy",6,0.42,Rural (Freshwater),0.01,0.728,0.1,0.3,0.00295,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,0.48,Industrial (Acidic Rain),0.1,0.394,0.1,0.3,0.018758,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Lead-tin solders,"Tin, Tin-Lead, Indium",8,0.03,Marine (Seawater),5.0,0.322,5.0,0.3,0.001994,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Copper,"Copper-High Nickel, Monel",15,0.13,Industrial (Acidic Rain),0.1,1.384,2.0,1.0,0.014535,Compatible
Tin,"Tin, Tin-Lead, Indium",8,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.32,Rural (Freshwater),0.01,0.984,0.3,5.0,0.003028,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.59,Industrial (Acidic Rain),0.1,0.689,0.1,5.0,0.026166,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.65,Marine (Seawater),5.0,0.537,0.1,2.0,0.158726,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Chlorimet 2,"Nickel, Cobalt",16,0.41,Rural (Freshwater),0.01,0.044,0.1,2.0,0.000166,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,1.07,Marine (Seawater),5.0,0.395,0.1,5.0,0.078617,Unfavorable
18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Graphite,Graphite,20,0.21,Marine (Seawater),5.0,0.057,5.0,10.0,0.000707,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Titanium,Titanium,17,0.59,Rural (Freshwater),0.01,1.806,5.0,10.0,0.008308,Unfavorable
Silver solder,Silver,18,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.1,Marine (Seawater),5.0,0.359,10.0,2.0,0.002817,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.25,Industrial (Acidic Rain),0.1,0.356,2.0,5.0,0.00529,Compatible
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.19,Marine (Seawater),5.0,0.991,1.0,2.0,0.061499,Compatible
Zinc,"Zinc, Zinc Coating",2,Cast iron,"Steels-Carbon, Low Alloy",6,0.42,Industrial (Acidic Rain),0.1,0.307,0.1,0.3,0.012564,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Graphite,Graphite,20,0.31,Industrial (Acidic Rain),0.1,2.04,1.0,10.0,0.03052,Unfavorable
Cadmium,"Cadmium, Beryllium",3,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.37,Marine (Seawater),5.0,0.472,0.1,2.0,0.066355,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.45,Rural (Freshwater),0.01,1.21,5.0,5.0,0.004981,Compatible
Nickel (passive),"Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.34,Rural (Freshwater),0.01,0.182,2.0,10.0,0.000505,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Silver,Silver,18,0.54,Industrial (Acidic Rain),0.1,0.34,0.3,10.0,0.009863,Unfavorable
Nickel (active),"Nickel, Cobalt",16,Graphite,Graphite,20,0.48,Industrial (Acidic Rain),0.1,0.367,2.0,10.0,0.007577,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.38,Industrial (Acidic Rain),0.1,6.565,0.3,1.0,0.216965,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.36,Rural (Freshwater),0.01,0.342,5.0,1.0,0.001147,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.86,Rural (Freshwater),0.01,2.192,0.1,10.0,0.017872,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.38,Industrial (Acidic Rain),0.1,0.24,0.3,1.0,0.007846,Unfavorable
Lead,Lead,7,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.29,Marine (Seawater),5.0,0.118,0.3,1.0,0.021175,Unfavorable
Cadmium,"Cadmium, Beryllium",3,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.58,Marine (Seawater),5.0,1.352,0.1,1.0,0.579524,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.51,Rural (Freshwater),0.01,0.369,0.3,5.0,0.001759,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Graphite,Graphite,20,0.74,Industrial (Acidic Rain),0.1,0.622,0.3,10.0,0.024914,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.2,Marine (Seawater),5.0,2.178,0.1,5.0,0.083569,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.45,Industrial (Acidic Rain),0.1,0.045,5.0,1.0,0.001248,Unfavorable
Inconel (active),"Nickel, Cobalt",16,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.25,Rural (Freshwater),0.01,1.59,2.0,5.0,0.003817,Compatible
Nickel (active),"Nickel, Cobalt",16,Silver,Silver,18,0.39,Industrial (Acidic Rain),0.1,3.071,2.0,10.0,0.056889,Compatible
Nickel (active),"Nickel, Cobalt",16,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.3,Marine (Seawater),5.0,1.234,2.0,5.0,0.050773,Compatible
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Silver,Silver,18,0.16,Industrial (Acidic Rain),0.1,1.147,1.0,10.0,0.008722,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Silver,Silver,18,0.59,Rural (Freshwater),0.01,0.495,0.3,10.0,0.002614,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,0.04,Rural (Freshwater),0.01,1.303,0.3,5.0,0.000516,Compatible
Magnesium and magnesium alloys,Magnesium,1,Copper,"Copper-High Nickel, Monel",15,1.4,Marine (Seawater),5.0,1.429,0.1,1.0,1.680478,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Graphite,Graphite,20,0.7,Rural (Freshwater),0.01,10.63,5.0,10.0,0.062171,Unfavorable
Inconel (active),"Nickel, Cobalt",16,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.51,Marine (Seawater),5.0,0.113,2.0,10.0,0.004449,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Copper,"Copper-High Nickel, Monel",15,0.49,Industrial (Acidic Rain),0.1,0.083,0.1,1.0,0.003082,Unfavorable
Titanium,Titanium,17,Graphite,Graphite,20,0.07,Marine (Seawater),5.0,1.734,10.0,10.0,0.005104,Compatible
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.02,Rural (Freshwater),0.01,0.054,1.0,5.0,1e-05,Compatible
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.08,Marine (Seawater),5.0,5.002,1.0,2.0,0.128362,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Inconel (active),"Nickel, Cobalt",16,0.15,Marine (Seawater),5.0,0.832,0.3,2.0,0.054551,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Silver,Silver,18,0.77,Rural (Freshwater),0.01,0.371,0.1,10.0,0.002334,Unfavorable
"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,Titanium,Titanium,17,0.1,Rural (Freshwater),0.01,0.267,2.0,10.0,0.00024,Compatible
Tin,"Tin, Tin-Lead, Indium",8,Nickel (passive),"Nickel, Cobalt",16,0.3,Marine (Seawater),5.0,0.376,0.3,2.0,0.046427,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,0.18,Industrial (Acidic Rain),0.1,3.939,0.1,0.3,0.073359,Unfavorable
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.05,Industrial (Acidic Rain),0.1,2.132,1.0,1.0,0.008966,Compatible
Chlorimet 2,"Nickel, Cobalt",16,Titanium,Titanium,17,0.34,Marine (Seawater),5.0,1.607,2.0,10.0,0.047194,Compatible
Lead,Lead,7,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.35,Industrial (Acidic Rain),0.1,0.26,0.3,1.0,0.007896,Unfavorable
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.07,Industrial (Acidic Rain),0.1,5.103,1.0,5.0,0.023812,Compatible
Chlorimet 2,"Nickel, Cobalt",16,Silver,Silver,18,0.32,Rural (Freshwater),0.01,2.451,2.0,10.0,0.006735,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Lead-tin solders,"Tin, Tin-Lead, Indium",8,0.11,Rural (Freshwater),0.01,0.929,0.3,0.3,0.001,Compatible
Tin,"Tin, Tin-Lead, Indium",8,Chlorimet 2,"Nickel, Cobalt",16,0.14,Industrial (Acidic Rain),0.1,2.421,0.3,2.0,0.026674,Unfavorable
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.15,Industrial (Acidic Rain),0.1,3.789,1.0,5.0,0.03409,Compatible
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.39,Industrial (Acidic Rain),0.1,0.244,1.0,10.0,0.004654,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Silver solder,Silver,18,0.89,Rural (Freshwater),0.01,35.152,0.1,10.0,0.27426,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Cast iron,"Steels-Carbon, Low Alloy",6,0.08,Industrial (Acidic Rain),0.1,0.739,0.1,0.3,0.005911,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.32,Rural (Freshwater),0.01,2.134,0.3,1.0,0.006691,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.66,Rural (Freshwater),0.01,2.044,0.3,10.0,0.011941,Unfavorable
Copper,"Copper-High Nickel, Monel",15,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.02,Industrial (Acidic Rain),0.1,1.935,1.0,1.0,0.003401,Compatible
Zinc,"Zinc, Zinc Coating",2,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.85,Industrial (Acidic Rain),0.1,0.484,0.1,1.0,0.036948,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Lead-tin solders,"Tin, Tin-Lead, Indium",8,0.11,Industrial (Acidic Rain),0.1,1.54,0.3,0.3,0.015698,Compatible
Tin,"Tin, Tin-Lead, Indium",8,Nickel (passive),"Nickel, Cobalt",16,0.3,Marine (Seawater),5.0,16.025,0.3,2.0,1.922382,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.45,Marine (Seawater),5.0,0.655,0.3,5.0,0.055213,Compatible
Nickel (passive),"Nickel, Cobalt",16,Graphite,Graphite,20,0.25,Marine (Seawater),5.0,2.851,2.0,10.0,0.058837,Unfavorable
Copper,"Copper-High Nickel, Monel",15,Silver solder,Silver,18,0.06,Rural (Freshwater),0.01,13.238,1.0,10.0,0.006941,Compatible
Copper,"Copper-High Nickel, Monel",15,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.16,Rural (Freshwater),0.01,0.084,1.0,2.0,0.000115,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Chlorimet 2,"Nickel, Cobalt",16,0.05,Marine (Seawater),5.0,1.926,2.0,2.0,0.020654,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Titanium,Titanium,17,0.75,Industrial (Acidic Rain),0.1,1.515,0.1,10.0,0.057628,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.53,Marine (Seawater),5.0,0.814,5.0,2.0,0.055523,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.43,Industrial (Acidic Rain),0.1,6.317,0.3,1.0,0.237968,Unfavorable
Nickel (passive),"Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.34,Rural (Freshwater),0.01,1.064,2.0,10.0,0.003218,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Nickel (active),"Nickel, Cobalt",16,0.22,Industrial (Acidic Rain),0.1,0.87,5.0,2.0,0.010338,Unfavorable
Lead,Lead,7,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.42,Rural (Freshwater),0.01,0.319,0.3,5.0,0.001184,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Titanium,Titanium,17,0.59,Rural (Freshwater),0.01,0.344,5.0,10.0,0.00186,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Tin,"Tin, Tin-Lead, Indium",8,0.27,Industrial (Acidic Rain),0.1,0.22,0.1,0.3,0.005674,Unfavorable
